qi-k!1207,qi-$Set[Int]_prog.in_singleton_set,qi-quant-u-0,qi-quant-u-200,qi-quant-u-1,qi-$Set[Int]_prog.singleton_set_cardinality,qi-$Set[Int]_prog.card_non_negative,qi-$Set[Int]_prog.empty_set_cardinality,qi-$Set[Int]_prog.in_singleton_set_equality,qi-$Set[Int]_prog.equality_definition,qi-$Set[Int]_prog.native_equality,qi-quant-u-2,qi-quant-u-205,qi-quant-u-203,qi-quant-u-3,qi-quant-u-202,qi-$Set[Int]_prog.not_in_difference,qi-$Set[Int]_prog.in_difference,qi-$Set[Int]_prog.cardinality_difference,qi-$Set[Int]_prog.cardinality_sums,qi-$Set[Int]_prog.in_intersection_in_both,qi-$Set[Int]_prog.in_left_in_union,qi-$Set[Int]_prog.in_right_in_union,qi-$Set[Int]_prog.in_union_in_one,qi-$Set[Int]_prog.in_empty_set,qi-quant-u-4,qi-quant-u-207,qi-quant-u-5,qi-quant-u-10,qi-quant-u-219,qi-quant-u-11,qi-quant-u-217,qi-quant-u-214,qi-quant-u-6,qi-quant-u-213,qi-quant-u-7,qi-quant-u-209,qi-k!872,qi-quant-u-8,qi-quant-u-215,qi-quant-u-9,qi-quant-u-14,qi-quant-u-15,qi-quant-u-222,qi-quant-u-221,qi-quant-u-12,qi-quant-u-220,qi-quant-u-13,qi-k!1050,qi-k!1082,qi-k!1045,qi-k!1071,qi-k!1144,qi-k!1139,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_not_opaque/dicts_not_opaque.gobra.vpr@887@12@890@61,qi-k!1080,qi-quant-u-225,qi-quant-u-224,qi-k!1148,qi-quant-u-19,qi-quant-u-230,qi-k!2173,qi-k!1122,qi-k!2167,qi-quant-u-16,qi-quant-u-228,qi-quant-u-226,qi-quant-u-227,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_not_opaque/dicts_not_opaque.gobra.vpr@891@12@894@48,qi-quant-u-237,qi-quant-u-20,qi-quant-u-236,qi-quant-u-21,qi-quant-u-250,qi-quant-u-24,qi-quant-u-249,qi-quant-u-31,qi-quant-u-259,qi-quant-u-25,qi-quant-u-245,qi-k!3209,qi-quant-u-22,qi-quant-u-243,qi-quant-u-23,qi-quant-u-238,qi-quant-u-26,qi-quant-u-253,qi-$Set[Int]_prog.subset_definition,qi-k!862,qi-quant-u-28,qi-quant-u-257,qi-quant-u-256,qi-quant-u-29,qi-quant-u-255,qi-quant-u-244,qi-quant-u-44,qi-quant-u-45,qi-quant-u-279,qi-k!3990,qi-quant-u-251,qi-quant-u-252,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_not_opaque/dicts_not_opaque.gobra.vpr@764@12@766@56,qi-quant-u-34,qi-quant-u-267,qi-quant-u-35,qi-quant-u-266,qi-quant-u-32,qi-quant-u-265,qi-quant-u-33,qi-quant-u-263,qi-quant-u-46,qi-quant-u-286,qi-quant-u-47,qi-quant-u-284,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_not_opaque/dicts_not_opaque.gobra.vpr@1115@12@1117@62,qi-quant-u-272,qi-quant-u-36,qi-quant-u-271,qi-quant-u-37,qi-quant-u-269,qi-quant-u-49,qi-quant-u-289,qi-k!4699,qi-k!4707,qi-k!1131,qi-quant-u-41,qi-quant-u-40,qi-quant-u-275,qi-k!3889,qi-k!1098,qi-quant-u-278,qi-quant-u-42,qi-quant-u-277,qi-quant-u-43,qi-quant-u-283,qi-quant-u-282,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_not_opaque/dicts_not_opaque.gobra.vpr@913@6@916@41,qi-quant-u-288,qi-quant-u-287,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_not_opaque/dicts_not_opaque.gobra.vpr@286@13@288@54,qi-quant-u-296,qi-quant-u-50,qi-quant-u-295,qi-quant-u-51,qi-quant-u-274,qi-quant-u-38,qi-quant-u-273,qi-quant-u-39,qi-$Set[Int]_prog.union_right_idempotency,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_not_opaque/dicts_not_opaque.gobra.vpr@705@12@706@74,qi-quant-u-262,qi-quant-u-30,qi-quant-u-261,qi-$Set[Int]_prog.intersection_right_idempotency,qi-$Set[Int]_prog.intersection_left_idempotency,qi-$Multiset[Int]_prog.count_card,qi-$Multiset[Int]_prog.card_non_negative,qi-$Multiset[Int]_prog.card_empty,qi-quant-u-120,qi-$Multiset[Int]_prog.singleton_unionone,qi-$Multiset[Int]_prog.count_union,qi-$Multiset[Int]_prog.card_union,qi-quant-u-121,qi-quant-u-428,qi-$Multiset[Int]_prog.count_singleton,qi-$Multiset[Int]_prog.count_unionone,qi-$Multiset[Int]_prog.count_empty,qi-k!8394,qi-k!8400,qi-$Multiset[Int]_prog.card_unionone,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_not_opaque/dicts_not_opaque.gobra.vpr@1042@12@1044@47,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_not_opaque/dicts_not_opaque.gobra.vpr@404@6@406@68,qi-k!1102,qi-quant-u-146,qi-quant-u-147,qi-quant-u-476,qi-$Set[Int]_prog.union_left_idempotency,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_not_opaque/dicts_not_opaque.gobra.vpr@1204@12@1206@25,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_not_opaque/dicts_not_opaque.gobra.vpr@714@12@715@20,qi-k!1604,qi-k!1598,qi-prog.getter_over_tuple2,qi-quant-u-150,qi-quant-u-151,qi-k!1869,qi-k!2061,qi-prog.set_ax_dec,qi-prog.set_ax_bound,qi-prog.integer_ax_dec,qi-prog.integer_ax_bound,execution_time
1,24,89,82,89,10,543,542,585,89,73,29,29,24,26,24,995,912,82,120,3491,1334,1523,197,57,51,46,47,20,20,20,20,17,37,37,36,36,72,6,6,6,1,2,2,12,12,12,12,47,46,46,2,1208,228,5,1,1,1,116,12,12,2,165,15,5,5,4,4,3,13,13,13,12,13,13,13,35,35,13,13,7,4,4,4,4,5,5,11,1,1,1,1,1,1,2,4,6,6,2,2,2,3,13,10,12,1,1,1,1,1,6,6,6,6,51,1,1,1,1,1,7,7,12,22,2,3,3,3,8,5,5,5,5,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,6,1,8,8,8,2,1,4,2,2,2,2,10,4,2,2,8,8,7,3,3,2,1,2,2,4,4,4,2,2,3,94,9,3,2,1,4,2,10,9,2,2,19.168535947799683
1,23,86,80,86,10,531,531,538,84,71,28,28,23,25,23,985,886,78,117,3392,1322,1531,225,61,51,46,47,20,20,20,20,16,36,36,34,34,96,6,6,6,1,2,2,12,12,12,12,46,45,45,8,1223,235,5,1,1,1,125,11,11,2,172,15,5,5,4,4,3,13,13,13,11,13,13,13,35,35,13,13,8,6,6,6,6,5,5,11,1,1,1,1,1,1,2,4,6,6,2,2,2,2,8,5,7,1,1,1,1,1,4,4,4,4,46,1,1,1,1,1,7,7,15,25,2,3,3,3,8,5,5,5,5,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,6,1,8,8,8,2,1,4,2,2,2,2,10,4,2,2,8,8,7,3,3,2,1,2,2,4,4,4,2,2,3,120,10,3,2,1,5,14,9,9,2,2,18.644120693206787
1,23,80,76,78,10,511,510,517,83,71,30,30,23,25,23,919,810,76,112,3316,1280,1396,191,81,51,46,47,20,20,20,20,16,36,36,34,34,67,6,6,6,1,2,2,12,12,12,12,44,44,44,2,1111,216,5,1,1,1,107,11,11,2,138,15,5,5,4,4,3,13,13,13,11,13,13,13,31,31,13,13,6,4,4,4,4,5,5,11,1,1,1,1,1,1,2,4,6,6,2,2,2,3,8,5,7,1,1,1,1,1,4,4,4,4,43,1,1,1,1,1,7,7,16,26,2,3,3,3,8,3,5,5,5,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,6,1,8,8,8,2,1,4,2,2,2,2,10,4,2,2,8,8,7,3,3,2,1,2,2,4,4,4,2,2,3,89,9,3,2,1,4,8,9,9,2,2,18.32518434524536
1,24,80,75,80,10,520,520,525,82,69,29,29,24,26,24,943,874,79,115,3282,1266,1448,215,67,51,46,47,20,20,20,20,18,38,38,37,37,90,6,6,6,1,2,2,12,12,12,12,47,46,46,2,1140,226,5,1,1,1,122,12,12,2,156,15,5,5,4,4,3,13,13,13,12,13,13,13,34,34,13,13,7,6,6,6,6,5,5,11,1,1,1,1,1,1,2,4,6,6,2,2,2,2,8,5,7,1,1,1,1,1,4,4,4,4,49,1,1,1,1,1,7,7,12,22,2,3,3,3,8,3,5,5,5,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,6,1,8,8,8,2,1,4,2,2,2,2,10,4,2,2,8,8,7,3,3,2,1,1,2,4,4,4,2,2,3,114,10,3,2,1,5,8,10,9,2,2,19.096994638442993
1,24,84,77,84,10,526,526,571,80,67,28,28,24,26,24,1013,890,80,116,3278,1280,1460,189,37,51,46,47,20,20,20,20,16,36,36,35,35,102,6,6,6,1,2,2,12,12,12,12,45,45,45,2,1194,229,5,1,1,1,123,12,12,2,169,15,5,5,4,4,3,13,13,13,12,13,13,13,35,35,13,13,9,4,4,4,4,5,5,11,1,1,1,1,1,1,2,4,6,6,2,2,2,2,10,7,9,1,1,1,1,1,4,4,4,4,47,1,1,1,1,1,7,7,13,23,2,3,3,3,8,5,5,5,5,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,6,1,8,8,8,2,1,4,2,2,2,2,10,4,2,2,8,8,7,3,3,2,1,2,2,4,4,4,2,2,3,125,9,3,2,1,6,14,9,9,2,2,19.092406749725342
1,24,82,77,82,10,507,505,475,78,65,30,30,24,26,24,858,706,79,111,2747,1098,1240,178,22,51,46,47,20,20,20,20,16,36,36,35,35,76,6,6,6,1,2,2,12,12,12,12,45,45,45,1,1045,204,5,1,1,1,107,12,12,2,148,15,5,5,4,4,3,13,13,13,12,13,13,13,34,34,13,13,7,4,4,4,4,5,5,11,1,1,1,1,1,1,2,4,6,6,2,2,2,2,8,5,7,1,1,1,1,1,4,4,4,4,50,1,1,1,1,1,7,7,14,24,2,3,3,3,8,3,5,5,5,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,6,1,8,8,8,2,1,4,2,2,2,2,10,4,2,2,8,8,7,3,3,2,1,1,2,4,4,4,2,2,3,95,7,3,2,1,4,2,9,9,2,2,18.24685263633728
1,23,89,80,89,10,533,532,606,90,77,29,29,23,25,23,986,923,78,117,3549,1394,1501,196,88,51,46,47,20,20,20,20,17,37,37,35,35,79,6,6,6,1,2,2,12,12,12,12,46,45,45,13,1231,234,5,1,1,1,120,11,11,2,174,17,5,5,4,4,3,13,13,13,11,13,13,13,35,35,13,13,24,4,4,4,4,5,5,11,1,1,1,1,1,1,2,4,6,6,2,2,2,2,13,10,12,1,1,1,1,1,6,6,6,6,44,1,1,1,1,1,7,7,17,27,2,3,3,3,8,5,5,5,5,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,6,1,8,8,8,2,1,4,2,2,2,2,10,4,2,2,8,8,7,3,3,2,1,2,2,4,4,4,2,2,3,101,9,3,2,1,18,14,10,9,2,2,18.8912353515625
1,23,77,71,76,10,496,495,489,86,74,30,30,23,25,23,858,703,74,108,2979,1136,1310,182,85,51,46,47,20,20,20,20,18,38,38,36,36,70,6,6,6,1,2,2,12,12,12,12,44,44,44,2,1051,204,5,1,1,1,103,11,11,2,147,15,5,5,4,4,3,13,13,13,11,13,13,13,31,31,13,13,7,4,4,4,4,5,5,11,1,1,1,1,1,1,2,4,6,6,2,2,2,2,8,5,7,1,1,1,1,1,4,4,4,4,46,1,1,1,1,1,7,7,14,24,2,3,3,3,8,5,5,5,5,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,6,1,8,8,8,2,1,4,2,2,2,2,10,4,2,2,8,8,7,3,3,2,1,2,2,4,4,4,2,2,3,88,7,3,2,1,18,8,10,9,2,2,19.26409125328064
1,22,77,69,76,10,495,494,535,76,64,29,29,22,24,22,896,754,72,108,2946,1123,1318,175,35,51,46,47,20,20,20,20,18,38,38,35,35,72,6,6,6,1,2,2,12,12,12,12,43,43,43,2,1050,208,5,1,1,1,112,10,10,2,150,15,5,5,4,4,3,13,13,13,10,13,13,13,34,34,13,13,6,4,4,4,4,5,5,11,1,1,1,1,1,1,2,4,6,6,2,2,2,2,8,5,7,1,1,1,1,1,4,4,4,4,49,1,1,1,1,1,7,7,15,25,2,3,3,3,8,3,5,5,5,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,6,1,8,8,8,2,1,4,2,2,2,2,10,4,2,2,8,8,7,3,3,2,1,1,2,4,4,4,2,2,3,93,9,3,2,1,5,14,10,9,2,2,18.875189542770386
1,24,84,77,84,10,527,527,558,86,72,29,29,24,26,24,945,855,80,116,3142,1237,1398,188,70,51,46,47,20,20,20,20,16,36,36,35,35,80,6,6,6,1,2,2,12,12,12,12,47,46,46,2,1154,227,5,1,1,1,122,12,12,2,165,15,5,5,4,4,3,13,13,13,12,13,13,13,35,35,13,13,7,4,4,4,4,5,5,11,1,1,1,1,1,1,2,4,6,6,2,2,2,3,10,7,9,1,1,1,1,1,5,5,5,5,48,1,1,1,1,1,7,7,13,23,2,3,3,3,8,3,5,5,5,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,6,1,8,8,8,2,1,4,2,2,2,2,10,4,2,2,8,8,7,3,3,2,1,1,2,4,4,4,2,2,3,103,9,3,2,1,5,14,9,9,2,2,18.075374603271484
