qi-k!881,qi-$Set[Int]_prog.in_singleton_set,qi-quant-u-0,qi-quant-u-110,qi-quant-u-1,qi-$Set[Int]_prog.singleton_set_cardinality,qi-$Set[Int]_prog.card_non_negative,qi-$Set[Int]_prog.empty_set_cardinality,qi-$Set[Int]_prog.in_singleton_set_equality,qi-$Set[Int]_prog.equality_definition,qi-$Set[Int]_prog.native_equality,qi-quant-u-2,qi-quant-u-115,qi-quant-u-113,qi-quant-u-3,qi-quant-u-112,qi-$Set[Int]_prog.in_right_in_union,qi-$Set[Int]_prog.in_left_in_union,qi-$Set[Int]_prog.in_union_in_one,qi-$Set[Int]_prog.cardinality_sums,qi-$Set[Int]_prog.in_intersection_in_both,qi-quant-u-4,qi-quant-u-117,qi-quant-u-5,qi-$Set[Int]_prog.not_in_difference,qi-$Set[Int]_prog.in_difference,qi-$Set[Int]_prog.cardinality_difference,qi-$Set[Int]_prog.in_empty_set,qi-$Set[Int]_prog.subset_definition,qi-k!643,qi-quant-u-6,qi-quant-u-119,qi-quant-u-7,qi-quant-u-127,qi-quant-u-8,qi-quant-u-126,qi-quant-u-20,qi-quant-u-9,qi-quant-u-121,qi-quant-u-21,qi-quant-u-147,qi-k!1885,qi-quant-u-10,qi-quant-u-130,qi-quant-u-128,qi-quant-u-129,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/sets_not_opaque/sets_not_opaque.gobra.vpr@428@12@430@56,qi-quant-u-137,qi-quant-u-12,qi-quant-u-136,qi-quant-u-13,qi-quant-u-132,qi-quant-u-18,qi-quant-u-145,qi-quant-u-19,qi-quant-u-144,qi-quant-u-16,qi-quant-u-143,qi-quant-u-17,qi-quant-u-141,qi-k!653,qi-quant-u-14,qi-quant-u-140,qi-quant-u-15,qi-quant-u-138,qi-quant-u-26,qi-quant-u-160,qi-quant-u-27,qi-quant-u-158,qi-quant-u-30,qi-quant-u-31,qi-quant-u-167,qi-quant-u-151,qi-quant-u-150,qi-quant-u-153,qi-quant-u-22,qi-quant-u-152,qi-quant-u-23,qi-$Set[Int]_prog.union_left_idempotency,qi-$Multiset[Int]_prog.count_card,qi-$Multiset[Int]_prog.card_non_negative,qi-$Multiset[Int]_prog.card_empty,qi-quant-u-72,qi-$Multiset[Int]_prog.singleton_unionone,qi-$Multiset[Int]_prog.card_union,qi-$Multiset[Int]_prog.count_union,qi-quant-u-73,qi-quant-u-251,qi-$Multiset[Int]_prog.card_unionone,qi-$Multiset[Int]_prog.count_empty,qi-$Multiset[Int]_prog.count_singleton,qi-$Multiset[Int]_prog.count_unionone,qi-k!4524,qi-k!4530,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/sets_not_opaque/sets_not_opaque.gobra.vpr@602@12@604@47,qi-$Set[Int]_prog.union_right_idempotency,qi-quant-u-24,qi-quant-u-156,qi-quant-u-155,qi-quant-u-25,qi-quant-u-154,qi-quant-u-88,qi-quant-u-89,qi-quant-u-284,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/sets_not_opaque/sets_not_opaque.gobra.vpr@486@6@489@41,qi-$Set[Int]_prog.intersection_right_idempotency,qi-$Set[Int]_prog.intersection_left_idempotency,qi-quant-u-162,qi-quant-u-161,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/sets_not_opaque/sets_not_opaque.gobra.vpr@219@13@221@54,qi-prog.getter_over_tuple2,qi-quant-u-44,qi-quant-u-45,qi-prog.set_ax_dec,qi-prog.set_ax_bound,qi-prog.integer_ax_dec,qi-prog.integer_ax_bound,execution_time
1,6,30,30,30,6,147,147,127,17,12,9,9,6,8,6,205,265,65,39,626,23,19,20,246,114,33,7,7,1,4,4,4,12,13,13,4,13,13,6,6,2,3,3,2,2,3,13,18,18,18,18,9,6,8,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,13.134193420410156
1,6,30,30,30,6,147,147,124,17,12,9,9,6,8,6,202,258,60,39,618,23,19,20,237,116,33,7,7,1,4,4,4,12,13,13,4,12,12,6,6,2,3,3,2,2,3,13,18,18,18,18,8,5,7,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,12.548863172531128
1,6,30,30,30,6,149,149,123,19,13,9,9,6,8,6,199,260,58,40,619,23,19,20,240,113,34,6,7,1,4,4,4,12,13,13,4,13,13,6,6,2,3,3,2,2,3,13,18,18,18,18,10,7,9,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,13.191413164138794
1,6,30,30,30,6,147,147,123,17,12,9,9,6,8,6,199,255,63,39,614,23,19,20,237,116,33,7,7,1,4,4,4,12,13,13,4,13,13,6,6,2,3,3,2,2,3,13,18,18,18,18,8,5,7,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,12.992852926254272
1,6,30,30,30,6,150,149,122,19,13,10,10,6,8,6,197,259,63,40,605,23,19,20,241,115,35,7,7,1,4,4,4,12,13,13,4,13,13,6,6,2,3,3,2,2,3,13,18,18,18,18,9,6,8,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,12.61899995803833
1,6,30,30,30,6,147,147,127,17,12,9,9,6,8,6,209,264,64,39,631,23,19,20,246,118,33,7,7,1,4,4,4,12,13,13,4,13,13,6,6,2,3,3,2,2,3,13,18,18,18,18,9,6,8,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,13.570315599441528
1,6,30,30,30,6,149,149,123,19,13,9,9,6,8,6,198,264,60,40,619,23,19,20,243,109,34,6,7,1,4,4,4,12,13,13,4,13,13,6,6,2,3,3,2,2,3,13,18,18,18,18,9,6,8,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,12.669540405273438
1,6,30,30,30,6,149,149,121,19,13,9,9,6,8,6,196,252,60,40,599,23,19,20,235,116,34,6,7,1,4,4,4,12,13,13,4,12,12,6,6,2,3,3,2,2,3,13,18,18,18,18,10,7,9,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,13.075214624404907
1,6,30,30,30,6,147,147,126,17,12,9,9,6,8,6,207,261,65,39,625,23,19,20,242,119,33,8,7,1,4,4,4,12,13,13,4,13,13,6,6,2,3,3,2,2,3,13,18,18,18,18,8,5,7,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,13.03046727180481
1,6,30,30,30,6,147,147,126,17,12,9,9,6,8,6,202,262,63,39,618,23,19,20,244,113,33,7,7,1,4,4,4,12,13,13,4,13,13,6,6,2,3,3,2,2,3,13,18,18,18,18,10,7,9,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,12.889139890670776
1,6,30,30,30,6,147,147,124,17,12,10,10,6,8,6,200,259,58,39,613,23,19,20,240,115,34,8,7,1,4,4,4,12,13,13,4,13,13,6,6,2,3,3,2,2,3,13,18,18,18,18,9,6,8,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,12.817270755767822
1,6,30,30,30,6,147,147,125,17,12,9,9,6,8,6,209,264,66,39,628,23,19,20,247,115,33,7,7,1,4,4,4,12,13,13,4,12,12,6,6,2,3,3,2,2,3,13,18,18,18,18,8,5,7,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,12.79806113243103
1,6,30,30,30,6,149,149,125,19,13,9,9,6,8,6,202,264,63,40,620,23,19,20,247,113,34,6,7,1,4,4,4,12,13,13,4,12,12,6,6,2,3,3,2,2,3,13,18,18,18,18,9,6,8,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,12.742648839950562
1,6,30,30,30,6,149,149,122,19,13,9,9,6,8,6,197,259,63,40,605,23,19,20,241,112,34,6,7,1,4,4,4,12,13,13,4,12,12,6,6,2,3,3,2,2,3,13,18,18,18,18,10,7,9,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,12.64728856086731
1,6,30,30,30,6,150,149,122,19,13,10,10,6,8,6,197,259,63,40,605,23,19,20,241,115,35,7,7,1,4,4,4,12,13,13,4,12,12,6,6,2,3,3,2,2,3,13,18,18,18,18,9,6,8,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,12.638679265975952
1,6,30,30,30,6,147,147,126,17,12,9,9,6,8,6,205,263,67,39,622,23,19,20,246,113,33,7,7,1,4,4,4,12,13,13,4,13,13,6,6,2,3,3,2,2,3,13,18,18,18,18,8,5,7,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,13.057880640029907
1,6,30,30,30,6,150,149,120,19,13,11,11,6,8,6,197,260,63,40,602,23,19,20,239,117,36,5,7,1,4,4,4,12,13,13,4,12,12,6,6,2,3,3,2,2,3,13,18,18,18,18,9,6,8,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,12.996777057647705
1,6,30,30,30,6,149,149,123,19,13,9,9,6,8,6,203,260,61,40,619,23,19,20,240,114,34,6,7,1,4,4,4,12,13,13,4,12,12,6,6,2,3,3,2,2,3,13,18,18,18,18,8,5,7,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,12.647621154785156
1,6,30,30,30,6,149,149,118,19,13,9,9,6,8,6,193,258,58,40,597,23,19,20,235,110,34,6,7,1,4,4,4,12,13,13,4,13,13,6,6,2,3,3,2,2,3,13,18,18,18,18,10,7,9,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,12.651878356933594
1,6,30,30,30,6,149,149,121,19,13,9,9,6,8,6,196,260,60,40,606,23,19,20,238,110,34,6,7,1,4,4,4,12,13,13,4,13,13,6,6,2,3,3,2,2,3,13,18,18,18,18,9,6,8,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,13.0360267162323
