qi-k!542,qi-k!553,qi-k!587,qi-k!565,qi-quant-u-8,qi-quant-u-9,qi-$Multiset[Int]_prog.card_non_negative,qi-$Multiset[Int]_prog.card_empty,qi-quant-u-27,qi-quant-u-2,qi-quant-u-26,qi-quant-u-3,qi-quant-u-0,qi-quant-u-24,qi-quant-u-1,qi-quant-u-10,qi-quant-u-11,qi-quant-u-35,qi-quant-u-34,qi-quant-u-4,qi-quant-u-28,qi-quant-u-5,qi-quant-u-41,qi-quant-u-16,qi-quant-u-40,qi-quant-u-17,qi-quant-u-33,qi-quant-u-32,qi-quant-u-39,qi-quant-u-14,qi-quant-u-38,qi-quant-u-15,qi-quant-u-6,qi-quant-u-30,qi-quant-u-7,qi-quant-u-12,qi-quant-u-36,qi-quant-u-13,qi-$Multiset[Int]_prog.equal_count,qi-$Multiset[Int]_prog.singleton_unionone,qi-$Multiset[Int]_prog.count_union,qi-$Multiset[Int]_prog.count_card,qi-$Multiset[Int]_prog.count_singleton,qi-$Multiset[Int]_prog.count_unionone,qi-$Multiset[Int]_prog.card_union,qi-$Multiset[Int]_prog.card_unionone,qi-$Multiset[Int]_prog.count_empty,qi-quant-u-22,qi-quant-u-45,qi-quant-u-23,qi-quant-u-44,qi-$Multiset[Int]_prog.native_equality,qi-prog.getter_over_tuple2,qi-quant-u-20,qi-quant-u-21,qi-prog.integer_ax_dec,qi-k!569,qi-k!593,qi-k!599,qi-prog.integer_ax_bound,execution_time
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,28,313,627,175,176,112,37,93,1,1,1,1,1,3,2,1,9,50,26,26,6,10.653276920318604
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,30,381,767,214,215,116,39,100,1,1,1,1,1,3,2,1,9,50,26,26,6,10.928860664367676
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,30,383,767,214,215,116,39,100,1,1,1,1,1,3,2,1,9,50,26,26,6,10.5341637134552
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,28,313,627,175,176,112,37,93,1,1,1,1,1,3,2,1,9,50,26,26,6,10.487468719482422
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,30,381,766,213,214,117,39,100,1,1,1,1,1,3,2,1,9,50,26,26,6,10.637656927108765
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,30,381,767,214,215,116,39,100,1,1,1,1,1,3,2,1,9,50,26,26,6,10.869438886642456
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,28,313,627,175,176,111,37,93,1,1,1,1,1,3,2,1,9,50,26,26,6,10.759708166122437
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,30,401,786,220,221,116,39,102,1,1,1,1,1,3,2,1,9,50,26,26,6,10.680810689926147
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,28,313,627,175,176,112,37,93,1,1,1,1,1,3,2,1,9,50,26,26,6,10.902204990386963
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,30,398,787,221,222,117,39,102,1,1,1,1,1,3,2,1,9,50,26,26,6,10.821024179458618
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,30,401,787,221,222,116,39,102,1,1,1,1,1,3,2,1,9,50,26,26,6,10.5577552318573
